DAY,DATE/TIME,LOCATION,INVOLVED/ESTABLISHMENT NAME/OWNER/s-OCCUPANT/S,CAUSE/ORIGIN of FIRE/NATURE OF CASE,LEVEL OF ALARM,KILLED,INJURED, FAI's ,STATUS of CASE/AMOUNT of DAMAGE/                              FAI-on-Case
M,11 July 2022                       1700H,"Lugao Restaurant #5779 Felipe St., Brgy. Poblacion, Makati City",Non-Residential_,Under Investigation              Cause: Overheated Electric Fan Motor (Home appliances),,Negative,Negative,SFO4 Macacabayao/SFO1 Tuburan/FO3 Batalla,"Php54,000.00"
F,15 July 2022                       1546H,"Neptune St. cor Makati Ave, Brgy Bel-Air",Transport/Automobile/Hyundai Accent Crystal White / Gas with Plate Numb,Under Investigation                                         Cause: Electrical Ignition Caused by Loosed Connection,,Negative,Negative,SFO4 Macacabayao/SFO1 Tuburan/FO3 Batalla,"Php50,000.00"
SA,16 July 2022                      2155H,"517 Cebu St., Brgy Pitogo, Makati City",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php500.00
M,18 July 2022                      1143H,"Anastacio St., Brgy Guadalupe Nuevo",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Dalmacio/SFO1 Umnas/SFO1 Pacubat/SFO1 Balleta,Php500.00
M,18 July 2022                      2148H,"4th Ave. Riverside, Brgy. East Rembo",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Dalmacio/SFO1 Umnas/SFO1 Pacubat/SFO1 Balleta,Php500.00
TH,21 July 2022                     0841H,"Camino Anastacio St., Guadlupe Nuevo",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO4 Dalmacio/SFO1 Umnas/SFO1 Pacubat/SFO1 Balleta,Php500.00
TH,21 July 2022                      1658H,"Century City Mall, L5 Kalayaan Ave cor Salamanca St., Brgy Poblacion, Makati City",Non_Residential/Mixed Occupancies/,Fire Under Investigation                               Cause: Excessive heating overtime caused by corrosive environment affecting the electrical components in the electrical panel board,1st Alarm,Negative,Negative,SFO4 Dalmacio/SFO1 Umnas/SFO1 Pacubat/SFO1 Balleta,"Php1,600,000.00"
SU,23 July 2022                      1418H,"#63 Teachers Compound, Brgy. West Rembo, Makati City",Storey Residential-_Single and Two Family Dwelling/,Smoking (lighted cigarette),,Negative,Negative,SFO4 Dalmacio/SFO1 Umnas/SFO1 Pacubat/SFO1 Balleta,"Php1,500.00"
TU,26 July 2022                      0328H,"#276  MCDA Compound, J. P. Rizal Avenue, Brgy. Cembo, Makati City",3-Storey Storey Residential-_Single and Two Family Dwelling,Arson (Butane)                                    At the 3rd floor of the house ,2nd Alarm,"1. Susan Balen, 46 y/o, Female, suffered multiple organ failure     ","                                                1. Norman Rios, 31 y/o, Male, Abrasions on his right knee",SFO4 Macababayao/SFO1 Tuburan/FO3 Batalla,"Php30,000.00"
TU,26 July 2022                      0329H,"Dayap St., cor. Bautista. Bry, Palanan",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Macababayao/SFO1 Tuburan/FO3 Batalla,Php500.00
W,27 July 2022                      1108H,"Pason Tamo (In-between Marvin Plaza and SMDC Bldg, Brgy. Pio Del Pilar, Makati City",Non-Structural_Rubbish ,Smoking (lighted cigarette),,Negative,Negative,SFO4 Macababayao/SFO1 Tuburan/FO3 Batalla,Php200.00
W,27 July 2022                      1428H,"The Link (Infront of Ayala Museum) Makati Avenue., Brgy. San Lorenzo, Makati City","Transport_Automobile/Toyota Corola, 2010 year model, with plate num",Overheated Engine (Motor Vehicle),,Negative,Negative,SFO4 Macababayao/SFO1 Tuburan/FO3 Batalla,"Php5,000.00"
W,27 July 2022                      2035H,"325 JP Rizal, Brgy. Tejeros, Makati City",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Macababayao/SFO1 Tuburan/FO3 Batalla,Php500.00
F,29July 2022                      1442H,"#9598 Hamilton Center, Kamagong St., San Antonio, Makati City",Non-Residential_Business/Hamilton Center(3-Storey),Fire Under Investigation                Cause: Electrical Ignition Caused by Short Circuit,1st Alarm,Negative,Negative,SFO4 Macababayao/SFO1 Tuburan/FO3 Batalla,"Php700,000.00"
SU,31July 2022                      1442H,"Blk 329 Lot 17 Penguin St., Brgy.  Rizal, Makati City",Non_Structural/Electrical Pole/Meralco ,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Macababayao/SFO1 Tuburan/FO3 Batalla,Php500.00
F,03 June 2022                       2128H,"Osmena, Brgy. Valenzuela, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php200.00
F,03 June 2022                       2118H,"Camalig St., Brgy. Palanan,Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php200.00
SU,05 June 2022                       2118H,"Anastacio St., Brgy. Guadalupe Nuevo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macacabayao/SFO1 Tuburan/FO3 Batalla,Php200.00
M,06 June 2022                       2247H,"B2 L32 Aster St., Target Range, Brgy. Pembo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,Php500.00
TH,09 June 2022                       1116H,"B5L17 Dahlia St., Brgy. Pembo, Makati City",Transport_Motorbike/E-Bike/,Battery Short Circuit,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas/SFO1 Balleta,"Php1,000.00"
