DAY,DATE/TIME,LOCATION,INVOLVED/ESTABLISHMENT NAME/OWNER/s-OCCUPANT/S,CAUSE/ORIGIN of FIRE/NATURE OF CASE,LEVEL OF ALARM,KILLED,INJURED, FAI's ,STATUS of CASE/AMOUNT of DAMAGE/                              FAI-on-Case
SU,10 April 2022                       2024H,"JP Rizal cor Legaspi, Brgy. Olympia, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,PHP 200.00
M,11 April 2022                       1301H,"7123 Langka St., Brgy Comembo, Makati City",2-Storey Residential-_Single and Two Family Dwelling/                                                        No. of Houses Burned: 4                                        No. of Families Affected: 4                      ,"Consummated Arson  (P.D. 1613)                                  Filed on l 2022 at the Office of the City Prosecutor, Makati City with NPS ",1st Alarm,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,"Php250,000.00"
F,15 April 2022 0013H,"Pet Plans Tower EDSA, Brgy Guadalupe Viejo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,Php500.00
SA,16 April 2022 0900H,3526-H Mola St. Brgy. La Paz,Residential/Single and Two Family Dwelling /,Overheated Home Appliance,1st Alarm,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,"Php10,000.00"
SA,16 April 2022 1612H,"36 Phase 5 Teachers Compound  Brgy. West Rembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,Php500.00
SU,17 April 2022 1245H,"25 Apartment Ridge Road Brgy. Urdaneta, Makati City",Transport_Motorcycle,Battery Short Circuit,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,"Php30,000.00"
SU,17 April 2022 0341H,"2554 Cervera St. Brgy. La Paz, Makati City",Residential/Single and Two Family Dwelling /,Open flame from Cooking (superkalan),,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,Php500.00
M,18 April 2022 1730H,"1324 Bisaya St., Brgy. Guadalupe Nuevo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php500.00
TU,19 April 2022 0011H,"8/F DBP Head Office, Cruzada St. cor. Makati Ave., Brgy. Urdaneta, Makati City",Non_Residential/Business/              (14-Storey) Government-Owned                   No. of Establishment Burned: 1,"Fire Under Investigation                       Note: Case was forwarded to IID, NHQ due jurisdictional amount                          At the Treasury and Corporate Office located at the 8/F",2nd Alarm,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,"PhP16,000,000.00"
F,22 April 2022 1912H,"Felipe St., Brgy. Poblacion, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,PhP500.00
SA,23 April 2022 1839H,"MRT Ayala Station, Brgy San Lorenzo, Makati City",Non_Structural/Rubbish Fire/Vacant Area,Smoking (lighted Cigarette),,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php0.00
SU,24 April 2022 2135H,"D Benito., cor Pascua St., Brgy. Carmona, Makati City ",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php500.00
M,25 April 2022 1156H,Jimenez St. Brgy. San Lorenzo Legaspi Village near Catcho Gonzales Building Makati City,Non_Structural/Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,Php500.00
M,25 April 2022 1429H,"1759 Nicanor Garcia St., Brgy. Valenzuela, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,Php500.00
TU,26 April 2022 1219H,"#2880 H. Santos St., Brgy. Tejeros, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,Php500.00
TH,28 April 2022 1214H,"#5113 San Antonio St., Brgy. Pio del Pilar, Makati City",2-Storey Residential-_Single and Two Family Dwelling/                                                           No. of Houses Burned: 7                                        No. of Families Affected: 15                               (37 Individual),Fire Under Investigation            Cause: Electrical Ignition Caused by Overloading,2nd Alarm,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,"Php3,000,000.00"
F,29 April 2022 0858H,"9047 Hormega St., Brgy. Olympia, Makati City",2-Storey Residential-_Single and Two Family Dwelling/,Overheated Home Appliances,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,Php400.00
F,29 April 2022 2321H,"Alfonso cor. Permina Sts., Brgy. Poblacion, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Mamado,Php500.00
W,02 March 2022                       0746H,"#9 Margarita St. Brgy. Magallanes, Makati City",2-Storey Residential-_Single and Two Family Dwelling/Angelita Recto                                                          No. of House Burned: 1,UNDER INVESTIGATION                          Cause: Electrical Ignition Caused by Loosed Connection,1st Alarm,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,"Php500,000.00"
SU,06 March 2022                       1057H,"Sitio 8 Blk 7 Kalayaan, Brgy. West Rembo,  Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,Php200.00
TH,10 March 2022                       0825H,"South Cemetery, Brgy. Tejeros, Makati City",Non_Structural/Grass Fire,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php0.00
TH,10 March 2022                       1913H,"4774 Barasoain St., Brgy. Olympia, Makati City",Non_Structural/Rubbish Fire,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php0.00
SA,12 March 2022                       2013H,"1004 Theresa St., Brgy. Valenzuela, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php500.00
SA,12 March 2022                       2232H,"Spring Beauty St., Blk 65, Brgy Pembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php500.00
SU,13 March 2022                      0212H,"0038 JP Rizal Extn., Brgy Comembo, Makati City",2-Storey Residential-_Single and Two Family Dwelling/,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php500.00
SU,13 March 2022                       2255H,"Sgt F Yabut St., Brgy Guadalupe Nuevo",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,Php500.00
TH,15 March 2022                       1351H,"#9486 Anubing St. Brgy. San Antonio, Makati City",2-Storey Residential-_Single and Two Family Dwelling/                                                  No. of House Affected:  1,Open flame from unattended lighted candle,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,"PHP 5,000.00"
TH,17 March 2022                       1430H,"C5 Kalayaan North Bound East Rembo,  Makati City",Transport/Automobile/,Gasoline Leak in Engine Bay,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,"PHP 50,000.00"
TH,17 March 2022                      1702H,"1305 Puma St. Brgy. Rizal, Makati City",Non-Residential/Mercantile/                                    No. of Estab/House Affected: 3,UNDER INVESTIGATION             Cause: Electrical Ignition Caused by Piched Wire,1st Alarm,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,"PHP 978,983.30"
M,21 March 2022                      1137H,"2/F The Landmark, Palm Drive cor Makati Ave.,  Brgy. San Lorenzo, Makati City",Non-Residential_Assembly/,Overheated Industrial Machinery                                             At the exhaust duct,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Mamado,"Php1,000.00"
TU,22 March 2022                      0024H,"Leji Cuizine Restaurant, G/F AGS Plaza, Washington St., Brgy. Pio del Pilar, Makati City",Non-Residential_Mercantile/,OPen flame from Cooking                                            At the exhaust duct,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Mamado,Php500.00
TU,22 March 2022                      1029H,"Dusit Thani, 1223 Ayala Center, Brgy. San Lorenzo, Makati City",Non-Residential_Storage/,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Mamado,"Php10,000.00"
W,23 March 2022                      2326H,"6627 E. Ramos St., Brgy. Pio Del Pilar, Makati City ",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Mamado,Php500.00
F,25 March 2022                      1753H,"2153 Red Residences, Chino Roces Ave., Brgy. Pio del Pilar, Makati City  ",Non_Residential/Business/31-Storey                               No. of Estab Affected: 1,UNDER INVESTIGATION,2nd Alarm,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,"Php4,000,000.00"
SA,26 March 2022                     0325H,"JP Rizal, Brgy. Comembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,Php500.00
SA,26 March 2022                     2001H,"5581 Ilaya St., Brgy. Poblacion, Makati City",Residential/Dormitory/ (4-Storey)                                            No. of House Burned: 1,UNDER INVESTIGATION                             Cause: Electrical Ignition Caused by Loosed Connection,1st Alarm,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,"Php400,000.00"
SU,27 March 2022                     1304H,"Valdez St., Brgy. Poblacion, Makati City",Non_Structural/Rubbish Fire,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,Php0.00
SU,27 March 2022                     1523H,"Guadalupe Mall, P. Burgos, Brgy. Guadalupe Viejo, Makati City",Non_Residential/Business/Guadalupe Mall/,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,Php500.00
M,28 March 2022                     1950H,"4299 Emilia St., Brgy Palanan, Makati City",Non_Structural/Transport Automobile/Elf 2009,Ignition of materials caused by Acetylene,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Parohinog,"PhP10,000.00"
TH,31 March 2022                     0027H,"4299 Emilia St., Brgy Palanan, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Parohinog,PhP200.00
TH,31 March 2022                     0841H,"Sampaguita St., Brgy. Pembo, Makati City","Transport Automobile/ABQ-1260, Toyota Vios (Taxi)/",Battery Short Circuit,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen/FO1 Parohinog,"PhP10,000.00"
W,02 Feb 2022                       1006H,"Block 13 7493 Bagtikan St. Brgy. San Antonio, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,Php200.00
F,04 Feb 2022                      1525H,"Bayabas St., Brgy. Comembo, Makati City",2-Storey Residential-_Single and Two Family Dwelling/,Sparks from Machinery,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,"Php5,000.00"
F,04 Feb 2022                      2025H,"1245 Acacia St. cor. Mahogany Dasmariñas Village Nuevo, Brgy. Dasmarinas, Makati City",Non_Residential/Business/Russian Embassy/Russian Federation Govt,"Under Investigation                        Note: Case was forwarded to IID, NHQ due to jurisdictional amount",2nd Alarm,Negative,,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,"Php101,109,576.00"
SA,05 Feb 2022                      2150H,"Adahlia St., Brgy. Rizal, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,Php500.00
SU,06 Feb 2022                      1306H,"Edison St. cor. Arnaiz Avenue, Brgy. Pio del Pilar, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,Php500.00
M,07 Feb 2022                      1807H,"Evangelsita Cor. Del Pilar St., Brgy. Bangkal, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macababayao/SFO1 Pacubat/SFO1 Umnas,Php500.00
M,07 Feb 2022                      1920H,"Blk 125 Lot 15, M.H Del Pilar Cor. South C., Brgy. Rizal, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macababayao/SFO1 Pacubat/SFO1 Umnas,Php500.00
TU,08 Feb 2022                      1133H,"3913 South Ave., cor. Yague St., Brgy. Sta. Cruz, Makati City",2-Storey Residential-_Single and Two Family Dwelling,Overheated Home Appliances,1st Alarm,Negative,Negative,SFO3 Macababayao/SFO1 Pacubat/SFO1 Umnas,"PHP 40,000.00"
TU,08 Feb 2022                      1620H,"Blk 80 Lot 0005, Sweet Orange, Brgy. Rizal, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO3 Macababayao/SFO1 Pacubat/SFO1 Umnas,PHP 500.00
TU,08 Feb 2022                      1943H,"Camia St., Brgy. Guadalupe Viejo, Makati City",Non_ResidentialStorage/LGU-Makati,Overheated Home Appliances,,Negative,Negative,SFO3 Macababayao/SFO1 Pacubat/SFO1 Umnas,PHP 500.00
W,09 Feb 2022                      1411H,"Tulay (Magallanes) North Bound Magallanes, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macababayao/SFO1 Pacubat/SFO1 Umnas,Php0.00
F,11 Feb 2022                      0241H,"84 Zodiac St., Bel-Air 4 Village, Makati City",2-Storey Residential-_Single and Two Family Dwelling/Sollabec Holdings Corp.,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO3 Macababayao/SFO1 Pacubat/SFO1 Umnas,"Php10,000.00"
F,14 Feb 2022                      0925H,"Cor. Pasong Tamo Kalayaan Ave., South Cemetery, Brgy. Sta. Cruz, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,Php0.00
TH,17 Feb 2022                      1311H,"Constancia St., Brgy. Olympia, Makati City",2-Storey Residential-_Single and Two Family Dwelling,Open Flame from cooking,,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,Php500.00
TH,17 Feb 2022                      1543H,"A. Venue Mall, B. Valdez cor. Makati Ave., Brgy. Poblacion, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,Php0.00
TH,17 Feb 2022                      1733H,"Gomez St., Brgy. South Cembo, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,Php500.00
SU,20 Feb 2022                      0412H,"Christ International Fellowship, Kalayaan Talipapa Market, #9642 Kalayaan Ave., Brgy. Guadalupe Nuevo, Makati City",Non_Residential/Assembly/Christ International Fellowship/3 Storey Bldg with Mezzanine and Basement/Mr Chui,Under Investigation                         Cause: Electrical due to loosed connection,2nd Alarm,,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,"Php4,000,000.00"
SU,20 Feb 2022                      1800H,"Salchuaga St., Brgy. Tejeros, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macababayao/SFO1 Umnas/FO1 Mamado,Php0.00
M,21 Feb 2022                      1520H,"376 Swing Fire St., Palar Village, Brgy Southside, Makati City",3-Storey Residential-_Single and Two Family Dwelling/,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,Php500.00
W,23 Feb 2022                     2049H,"74 Santol St., Brgy. Comembo, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,Php200.00
SU,27 Feb 2022                     1111H,"8436 Coro Hotel, Kalayaan Ave cor Mercado St., Brgy Poblacion, Makati City",Non_Residential/Business/19F/  Coro Hotel/Brite House Corp,Electrical Ignition caused by loosed connection,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,"Php5,000.00"
SA,01 Jan 2022                       0028H,"9154 Pateros St., Bgry. Olympia, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 JM Macababayao/             SFO1 RF Pacubat,Php0.00
M,03 Jan 2022                      1307H,"2390 Godet cor. Mola Sts. Brgy. La Paz ,  Makati City",Residential_Single and Two Family Dwelling/,Electrical Ignition Caused by Arcing,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen,Php100.00
M,03 Jan 2022                      1826H,"Casino cor. Bautista Sts. Brgy. Palanan,  Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition Caused by Arcing,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen,Php200.00
F,07 Jan 2022                      1347H,"C5 Kalayaan Elevated U turn slot  Brgy. East Rembo ,  Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen,Php0.00
SA,08 Jan 2022                      1056H,"4326 A Tinio St. Brgy. Bangkal,  Makati City",Residential_Single and Two Family Dwelling/,Childen Playing Matchsticks,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen,"PHP 1,000.00"
SU,09 Jan 2022                      2245H,"San Maximo St., Olympia, Brgy. Olympia, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen,PHP 0.00
M,10 Jan 2022                      1339H,"9037 San Nicolas St., Brgy. Guadalupe Nuevo, Makati City",Residential_Single and Two Family Dwelling/,Open Flame from Cooking,,Negative,Negative,SFO4 Aguilar / SFO1 Pacubat/SFO1 Umnas,PHP 200.00
TU,11 Jan 2022                      0016H,"5315 Diesel St., Brgy. Palanan, Makati City",Non_Residential/ Special Structure,Ignition of Material due to Acetylene/Hotworks,,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,Php0.00
TH,13 Jan 2022                      1124H,"Blk 325 Lot 13 Bluebird Extn., Brgy. Rizal, Makati City",Residential_Single and Two Family Dwelling/,Childen Playing Matchsticks,,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,Php200.00
F,14 Jan 2022                      0050H,"Ambers Best Restaurant 1158 Chino Roces Ave., Brgy. San Antonio Village, Makati City",Non_Residential/ Mercantile/Ambers Best Restaurant,Overheated Home Appliances,1st alarm,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,"Php10,000.00"
SU,16 Jan 2022                      1104H,"179-CP 27th Ave., Brgy. East Rembo, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,Php0.00
M,17 Jan 2022                      2034H,"2031 M. Layug St., Brgy. San Miguel Village, Brgy. Poblacion, Makati City",2-Storey Residential_Single and Two Family Dwelling/,Electrical Ignition Caused by loosed connection,,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,Php500.00
TU,18 Jan 2022                      1903H,"2483 Alexander St., Brgy. San Isidro, Makati City",4-Storey Residential_Single and Two Family Dwelling/,Open Flame from Unattended Lighted Candle,,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,"Php5,000.00"
W,19 Jan 2022                      1309H,"Malugay St., Brgy. San Antonio, Makati City",Transpot/Motorcycle/,Electrical Ignition Caused by loosed connection,,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,Php500.00
SU,23 Jan 2022                      0149H,"Blk 1 Lot 3 Guijo Ext., Brgy. Cembo, Makati City",Non_Structural/Rubbish,Smoking (Lighted Cigarette),,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,Php0.00
SU,23 Jan 2022                      1729H,"0117 9th Ave., Brgy. East Rembo, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,Php500.00
M,24 Jan 2022                      0448H,"0075 M.H. Del Pilar St., Brgy. Rizal, Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition Caused by loosed connection,,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,Php500.00
M,24 Jan 2022                      0643H,"Buting South Bound, Brgy. West Rembo, Makati City",Transport/Motorcycle/,Electrical Ignition Caused by loosed connection,,Negative,Negative,SFO3 Macababayao / SFO1 Pacubat / SFO1 Umnas,"Php5,000.00"
W,26 Jan 2022                      1603H,"Block 8-02 Lot 1 Dove Street Brgy. Rizal,  Makati City",2-Storey Residential_Single and Two Family Dwelling/,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,Php500.00
W,26 Jan 2022                      1844H,"3023 Gen G Del Pilar St. Brgy. Bangkal,  Makati City",Non_Structural/Electrical Pole/Meralco,Electrical Ignition caused by arcing,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen,Php200.00
W,26 Jan 2022                      2100H,"261 T. Alonzo ext. Brgy. West Rembo,  Makati City",3-Storey Residential_Single and Two Family ,Open Flame from cooking,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,Php500.00
TH,27 Jan 2022                      1849H,"1224 E. Jacinto St. Brgy. Guadalupe Nuevo,Makati City",Transport/Motorcycle/E-Bike/,Battery Short Circuit/Explosion,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,"Php15,000.00"
SA,29 Jan 2022                      1536H,"162 Lot 8 Adalla St., Brgy. Rizal, Makati City",Non-Residential_Special Structure/,Electrical Ignition by Arcing,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,"Php10,000.00"
SU,30 Jan 2022                      1908H,"Mayapis St. cor. Yakal St. Brgy. San Antonio, Makati City",2-Storey Non_Residential/Assembly/,Open Flame from cooking,,Negative,Negative,SFO4 Aguilar / FO3 Batalla / FO1 Labuguen/FO1 Mamado,"Php5,000.00"
